id;admlc_id;adm_local;razao_social;cnpj;cidade;uf;status_id;admrg_id;created_at;updated_at
;1;NÃO DEFINIDA;CONGREGAÇÃO CRISTÃ NO BRASIL;;NULL;XX;0;4;12/02/2026 22:37;12/02/2026 22:37
;2;ADM - CUBATÃO - SP;CONGREGAÇÃO CRISTÃ NO BRASIL;5,16E+13;CUBATÃO;SP;0;2;12/02/2026 22:37;12/02/2026 22:37
;3;ADM - GUARUJÁ - SP;CONGREGAÇÃO CRISTÃ NO BRASIL;5,43E+13;GUARUJÁ;SP;1;2;12/02/2026 22:37;12/02/2026 22:37
;4;ADM - SÃO VICENTE - SP;CONGREGAÇÃO CRISTÃ NO BRASIL;5,17E+13;SÃO VICENTE;SP;1;2;12/02/2026 22:37;12/02/2026 22:37
;5;ADM - SANTOS - SP;CONGREGAÇÃO CRISTÃ NO BRASIL;5,83E+13;SANTOS;SP;1;2;12/02/2026 22:37;12/02/2026 22:37
;6;ADM - EMBU DAS ARTES - SP;CONGREGAÇÃO CRISTÃ NO BRASIL;1,64E+12;EMBU DAS ARTES;SP;1;154;12/02/2026 22:37;12/02/2026 22:37
;7;ADM - CAPIVARI - SP;CONGREGAÇÃO CRISTÃ NO BRASIL;4,69E+13;CAPIVARI;SP;1;3;12/02/2026 22:37;12/02/2026 22:37
;8;ADM - ACRELÂNDIA - AC;CONGREGAÇÃO CRISTÃ NO BRASIL;5,78E+12;ACRELÂNDIA;AC;1;136;12/02/2026 22:37;12/02/2026 22:37
;9;ADM - BRASILÉIA - AC;CONGREGAÇÃO CRISTÃ NO BRASIL;3,47E+13;BRASILÉIA;AC;1;136;12/02/2026 22:37;12/02/2026 22:37
;10;ADM - CRUZEIRO DO SUL - AC;CONGREGAÇÃO CRISTÃ NO BRASIL;1,44E+13;CRUZEIRO DO SUL;AC;1;136;12/02/2026 22:37;12/02/2026 22:37
;11;ADM - PLÁCIDO DE CASTRO - AC;CONGREGAÇÃO CRISTÃ NO BRASIL;5,62E+12;PLÁCIDO DE CASTRO;AC;1;136;12/02/2026 22:37;12/02/2026 22:37
;12;ADM - RIO BRANCO - AC;CONGREGAÇÃO CRISTÃ NO BRASIL;4,03E+12;RIO BRANCO;AC;1;136;12/02/2026 22:37;12/02/2026 22:37
;13;ADM - SENA MADUREIRA - AC;CONGREGAÇÃO CRISTÃ NO BRASIL;1,38E+12;SENA MADUREIRA;AC;1;136;12/02/2026 22:37;12/02/2026 22:37
;14;ADM - XAPURI - AC;CONGREGAÇÃO CRISTÃ NO BRASIL;1,09E+12;XAPURI;AC;1;136;12/02/2026 22:37;12/02/2026 22:37
;15;ADM - ARAPIRACA - AL;CONGREGAÇÃO CRISTÃ NO BRASIL;2,42E+13;ARAPIRACA;AL;1;114;12/02/2026 22:37;12/02/2026 22:37
;16;ADM - DELMIRO GOUVEIA - AL;CONGREGAÇÃO CRISTÃ NO BRASIL;3,80E+12;DELMIRO GOUVEIA;AL;1;114;12/02/2026 22:37;12/02/2026 22:37
;17;ADM - MACEIÓ - AL;CONGREGAÇÃO CRISTÃ NO BRASIL;1,22E+13;MACEIÓ;AL;1;114;12/02/2026 22:37;12/02/2026 22:37
;18;ADM - PALMEIRA DOS ÍNDIOS - AL;CONGREGAÇÃO CRISTÃ NO BRASIL;1,22E+13;PALMEIRA DOS ÍNDIOS;AL;1;114;12/02/2026 22:37;12/02/2026 22:37
;19;ADM - APUÍ - AM;CONGREGAÇÃO CRISTÃ NO BRASIL;1,69E+12;APUÍ;AM;1;218;12/02/2026 22:37;12/02/2026 22:37
;20;ADM - HUMAITÁ - AM;CONGREGAÇÃO CRISTÃ NO BRASIL;2,40E+12;HUMAITÁ;AM;1;218;12/02/2026 22:37;12/02/2026 22:37
;21;ADM - MANAUS - AM;CONGREGAÇÃO CRISTÃ NO BRASIL;4,31E+12;MANAUS;AM;1;6;12/02/2026 22:37;12/02/2026 22:37
;22;ADM - TEFÉ - AM;CONGREGAÇÃO CRISTÃ NO BRASIL;2,22E+12;TEFÉ;AM;1;6;12/02/2026 22:37;12/02/2026 22:37
;23;ADM - MACAPÁ - AP;CONGREGAÇÃO CRISTÃ NO BRASIL;5,99E+12;MACAPÁ;AP;1;160;12/02/2026 22:37;12/02/2026 22:37
;24;ADM - ALAGOINHAS - BA;CONGREGAÇÃO CRISTÃ NO BRASIL;1,32E+13;ALAGOINHAS;BA;1;7;12/02/2026 22:37;12/02/2026 22:37
;25;ADM - APORÁ - BA;CONGREGAÇÃO CRISTÃ NO BRASIL;1,61E+13;APORÁ;BA;1;7;12/02/2026 22:37;12/02/2026 22:37
