id;admrg_id;adm_regional;uf;created_at;updated_at
;1;REG - SÃO PAULO;SP;12/02/2026 22:32;12/02/2026 22:32
;2;REG - SANTOS;SP;12/02/2026 22:32;12/02/2026 22:32
;3;REG - PIRACICABA;SP;12/02/2026 22:32;12/02/2026 22:32
;4;REG - NÃO DEFINIDA;XX;12/02/2026 22:32;12/02/2026 22:32
;5;REG - RIO BRANCO;AC;12/02/2026 22:32;12/02/2026 22:32
;6;REG - MANAUS;AM;12/02/2026 22:32;12/02/2026 22:32
;7;REG - ALAGOINHAS;BA;12/02/2026 22:32;12/02/2026 22:32
;8;REG - BOM JESUS DA LAPA;BA;12/02/2026 22:32;12/02/2026 22:32
;9;REG - JOÃO DOURADO;BA;12/02/2026 22:32;12/02/2026 22:32
;10;REG - CANSANÇÃO;BA;12/02/2026 22:32;12/02/2026 22:32
;11;REG - FEIRA DE SANTANA;BA;12/02/2026 22:32;12/02/2026 22:32
;12;REG - GUANAMBI;BA;12/02/2026 22:32;12/02/2026 22:32
;13;REG - ITABUNA;BA;12/02/2026 22:32;12/02/2026 22:32
;14;REG - JUAZEIRO;BA;12/02/2026 22:32;12/02/2026 22:32
;15;REG - SENHOR DO BONFIM;BA;12/02/2026 22:32;12/02/2026 22:32
;16;REG - VITÓRIA DA CONQUISTA;BA;12/02/2026 22:32;12/02/2026 22:32
;17;REG - SALVADOR;BA;12/02/2026 22:32;12/02/2026 22:32
;18;REG - TEIXEIRA DE FREITAS;BA;12/02/2026 22:32;12/02/2026 22:32
;19;REG - JUAZEIRO DO NORTE;CE;12/02/2026 22:32;12/02/2026 22:32
;20;REG - FORTALEZA;CE;12/02/2026 22:32;12/02/2026 22:32
;21;REG - VILA VELHA;ES;12/02/2026 22:32;12/02/2026 22:32
;22;REG - BOM JESUS DE GOIÁS;GO;12/02/2026 22:32;12/02/2026 22:32
;23;REG - CATALÃO;GO;12/02/2026 22:32;12/02/2026 22:32
;24;REG - GOIÂNIA;GO;12/02/2026 22:32;12/02/2026 22:32
;25;REG - PIRANHAS;GO;12/02/2026 22:32;12/02/2026 22:32
;26;REG - ITUMBIARA;GO;12/02/2026 22:32;12/02/2026 22:32
;27;REG - URUAÇU;GO;12/02/2026 22:32;12/02/2026 22:32
;28;REG - JATAÍ;GO;12/02/2026 22:32;12/02/2026 22:32
;29;REG - INHUMAS;GO;12/02/2026 22:32;12/02/2026 22:32
;30;REG - IMPERATRIZ;MA;12/02/2026 22:32;12/02/2026 22:32
;31;REG - SÃO LUÍS;MA;12/02/2026 22:32;12/02/2026 22:32
;32;REG - CUIABÁ;MT;12/02/2026 22:32;12/02/2026 22:32
;33;REG - RONDONÓPOLIS;MT;12/02/2026 22:32;12/02/2026 22:32
;34;REG - CANARANA;BA;12/02/2026 22:32;12/02/2026 22:32
;35;REG - CAMPO GRANDE;MS;12/02/2026 22:32;12/02/2026 22:32
;36;REG - DOURADOS;MS;12/02/2026 22:32;12/02/2026 22:32
;37;REG - ARAXÁ;MG;12/02/2026 22:32;12/02/2026 22:32
