"id";"nome";"created_at";"updated_at"
"1";"NÃO DEFINIDO";"2026-02-23 11:45:44";"2026-02-23 11:45:44"
"2";"ALMOXARIFADO";"2026-02-23 11:45:44";"2026-02-23 11:45:44"
"3";"ALOJAMENTO";"2026-02-23 11:45:45";"2026-02-23 11:45:45"
"4";"ANEXO";"2026-02-23 11:45:45";"2026-02-23 11:45:45"
"5";"ANEXO ADMINISTRATIVO";"2026-02-23 11:45:45";"2026-02-23 11:45:45"
"6";"ANEXO PIEDADE";"2026-02-23 11:45:46";"2026-02-23 11:45:46"
"7";"BARRACAO ADMINISTRAÇÃO";"2026-02-23 11:45:46";"2026-02-23 11:45:46"
"8";"BARRACÃO PIEDADE";"2026-02-23 11:45:46";"2026-02-23 11:45:46"
"9";"CASA DE APOIO";"2026-02-23 11:45:46";"2026-02-23 11:45:46"
"10";"COMPLEXO ADMINISTRATIVO";"2026-02-23 11:45:47";"2026-02-23 11:45:47"
"11";"DEPENDÊNCIA";"2026-02-23 11:45:47";"2026-02-23 11:45:47"
"12";"DEPENDÊNCIA ADMINISTRATIVA";"2026-02-23 11:45:47";"2026-02-23 11:45:47"
"13";"DEPENDÊNCIA PIEDADE";"2026-02-23 11:45:47";"2026-02-23 11:45:47"
"14";"ESPAÇO INFANTIL";"2026-02-23 11:45:48";"2026-02-23 11:45:48"
"15";"ESTACIONAMENTO";"2026-02-23 11:45:48";"2026-02-23 11:45:48"
"16";"TEMPLO";"2026-02-23 11:45:48";"2026-02-23 11:45:48"
"17";"TERRENO";"2026-02-23 11:45:48";"2026-02-23 11:45:48"
